Title,Year,Genre,Runtime,Rating,Votes,Gross
Avengers: Endgame,2019,"Action, Adventure, Drama",181.0,8.5,658846.0,$858.37M
Joker,2019,"Crime, Drama, Thriller",122.0,8.6,650548.0,$192.73M
Captain Marvel,2019,"Action, Adventure, Sci-Fi",123.0,6.9,392380.0,$426.83M
Once Upon a Time ...in Hollywood,2019,"Comedy, Drama",161.0,7.7,363903.0,$135.37M
Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",129.0,7.6,260010.0,$388.53M
John Wick: Chapter 3 - Parabellum,2019,"Action, Crime, Thriller",131.0,7.5,220521.0,$171.02M
Shazam!,2019,"Action, Adventure, Comedy",132.0,7.1,212784.0,$140.37M
Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",122.0,7.3,186126.0,$85.71M
Aladdin,I) (2019,"Adventure, Family, Fantasy",128.0,7.0,181642.0,$354.87M
Glass,2019,"Drama, Sci-Fi, Thriller",129.0,6.7,180498.0,$111.04M
Us,II) (2019,"Horror, Mystery, Thriller",116.0,6.9,180401.0,$175.01M
The Lion King,2019,"Animation, Adventure, Drama",118.0,6.9,160350.0,$540.08M
It Chapter Two,2019,"Drama, Fantasy, Horror",169.0,6.6,154169.0,$193.77M
Toy Story 4,2019,"Animation, Adventure, Comedy",100.0,7.9,150084.0,$433.03M
Ad Astra,2019,"Adventure, Drama, Mystery",123.0,6.6,136689.0,$35.40M
Fast & Furious Presents: Hobbs & Shaw,2019,"Action, Adventure",137.0,6.5,130908.0,$165.55M
Dark Phoenix,2019,"Action, Adventure, Sci-Fi",113.0,5.8,122878.0,$65.85M
Pokémon Detective Pikachu,2019,"Action, Adventure, Comedy",104.0,6.6,112717.0,$144.11M
Midsommar,I) (2019,"Drama, Horror, Mystery",147.0,7.2,110342.0,$27.33M
Godzilla: King of the Monsters,2019,"Action, Adventure, Fantasy",132.0,6.1,107112.0,$110.50M
Rocketman,I) (2019,"Biography, Drama, Music",121.0,7.4,93208.0,$96.37M
How to Train Your Dragon: The Hidden World,2019,"Animation, Action, Adventure",104.0,7.5,85985.0,$160.80M
Men in Black: International,2019,"Action, Adventure, Comedy",114.0,5.6,84348.0,$79.80M
Zombieland: Double Tap,2019,"Action, Comedy, Horror",99.0,6.8,77599.0,$26.80M
Yesterday,III) (2019,"Comedy, Fantasy, Music",116.0,6.9,76474.0,$73.29M
Jojo Rabbit,2019,"Comedy, Drama, War",108.0,8.0,76294.0,$0.35M
